Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Australia,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",3210.4720978126006,2881.2777791122576,3476.7478324242124
Germany,2021,All ages,Both,Cardiovascular diseases,DALY rank,2,,
Germany,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",6053.4645590175305,5323.594498478005,6541.821745885571
Argentina,2021,All ages,Both,Cardiovascular diseases,DALY rank,2,,
Argentina,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",3951.271472781095,3715.8065485947222,4188.395667863768
United States of America,2021,All ages,Both,Cardiovascular diseases,DALY rank,1,,
United States of America,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",5339.031052879712,4874.687459025682,5655.156382762899
Cuba,2021,All ages,Both,Cardiovascular diseases,DALY rank,2,,
Cuba,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",7008.012358505668,6163.519525223131,7826.396641932843
Peru,2021,All ages,Both,Cardiovascular diseases,DALY rank,5,,
Peru,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",2033.6739039976028,1670.2377367029178,2466.6135358313913
Mexico,2021,All ages,Both,Cardiovascular diseases,DALY rank,3,,
Mexico,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",3246.2179666849465,2912.157791205714,3628.502418722411
Brazil,2021,All ages,Both,Cardiovascular diseases,DALY rank,2,,
Brazil,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",4115.68936174574,3869.4202305384465,4308.520814611187
Egypt,2021,All ages,Both,Cardiovascular diseases,DALY rank,1,,
Egypt,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",7023.740019702883,5902.882419325057,8283.124488654044
India,2021,All ages,Both,Cardiovascular diseases,DALY rank,2,,
India,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",5264.944969313774,4795.571655406493,5766.255164540261
Angola,2021,All ages,Both,Cardiovascular diseases,DALY rank,5,,
Angola,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",2837.8629230540596,2183.0422993604384,3506.760466143719
Kenya,2021,All ages,Both,Cardiovascular diseases,DALY rank,4,,
Kenya,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",2096.3540585238875,1764.8110348803136,2510.911724847446
South Africa,2021,All ages,Both,Cardiovascular diseases,DALY rank,3,,
South Africa,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",4294.231578228215,4029.585650656262,4600.841076082704
Ghana,2021,All ages,Both,Cardiovascular diseases,DALY rank,3,,
Ghana,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",3953.951869315695,3179.0752540447247,4785.300814125671
China,2021,All ages,Both,Chronic respiratory diseases,DALY rank,4,,
China,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1815.411814920129,1537.7864785760175,2141.5427840997986
Indonesia,2021,All ages,Both,Chronic respiratory diseases,DALY rank,11,,
Indonesia,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1235.1935126280728,1040.8905869575608,1418.0491510470847
Fiji,2021,All ages,Both,Chronic respiratory diseases,DALY rank,10,,
Fiji,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1364.41511230887,1056.9743224422914,1661.5386475201342
Kazakhstan,2021,All ages,Both,Chronic respiratory diseases,DALY rank,10,,
Kazakhstan,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1253.3472075428795,1092.989371034563,1434.6934621174012
Poland,2021,All ages,Both,Chronic respiratory diseases,DALY rank,13,,
Poland,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1049.335392193305,900.3282769059085,1217.6395365493167
Ukraine,2021,All ages,Both,Chronic respiratory diseases,DALY rank,17,,
Ukraine,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",611.2015453150832,501.3863156591176,728.7212001343615
Japan,2021,All ages,Both,Chronic respiratory diseases,DALY rank,12,,
Japan,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1005.9617026197838,894.9233237934541,1115.3640621905106
Australia,2021,All ages,Both,Chronic respiratory diseases,DALY rank,8,,
Australia,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1136.8576771028445,1004.2557854639639,1297.850020786422
Germany,2021,All ages,Both,Chronic respiratory diseases,DALY rank,11,,
Germany,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1316.6506466047524,1205.2286813985631,1432.2226608738667
Argentina,2021,All ages,Both,Chronic respiratory diseases,DALY rank,11,,
Argentina,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",991.8203769753798,894.8753633904353,1126.430892964929
United States of America,2021,All ages,Both,Chronic respiratory diseases,DALY rank,9,,
United States of America,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",2009.952810674439,1828.3700182149073,2212.7070429332525
Cuba,2021,All ages,Both,Chronic respiratory diseases,DALY rank,13,,
Cuba,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1206.5109675275492,1059.3945371280215,1358.194382924614
Peru,2021,All ages,Both,Chronic respiratory diseases,DALY rank,15,,
Peru,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",656.4124066390776,533.3429667934237,813.9693971614898
Mexico,2021,All ages,Both,Chronic respiratory diseases,DALY rank,16,,
Mexico,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",702.5222853322215,628.1354813239353,794.3386194605794
Brazil,2021,All ages,Both,Chronic respiratory diseases,DALY rank,15,,
Brazil,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",899.1594881717236,820.6680426135536,1007.9438305105049
Egypt,2021,All ages,Both,Chronic respiratory diseases,DALY rank,15,,
Egypt,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",554.3193459104447,470.759924802758,652.877557775166
India,2021,All ages,Both,Chronic respiratory diseases,DALY rank,4,,
India,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",2260.5068179417176,2020.7285443281041,2549.068290241559
Angola,2021,All ages,Both,Chronic respiratory diseases,DALY rank,20,,
Angola,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",538.0297630313921,426.2779977042939,671.6937598128973
Kenya,2021,All ages,Both,Chronic respiratory diseases,DALY rank,20,,
Kenya,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",635.1497421085322,453.7650767372389,1100.8436051774909
South Africa,2021,All ages,Both,Chronic respiratory diseases,DALY rank,16,,
South Africa,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",1094.7839512712533,1011.2410162552012,1200.1913528375458
Ghana,2021,All ages,Both,Chronic respiratory diseases,DALY rank,20,,
Ghana,2021,All ages,Both,Chronic respiratory diseases,"DALYs per 100,000",460.06672941916935,377.3652649542874,555.5025197849047
China,2021,All ages,Both,Digestive diseases,DALY rank,12,,
China,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",729.3190265583308,608.7598069446639,861.5366736132921
Indonesia,2021,All ages,Both,Digestive diseases,DALY rank,4,,
Indonesia,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1751.0373698047774,1486.1632788785078,2075.834895369849
Fiji,2021,All ages,Both,Digestive diseases,DALY rank,16,,
Fiji,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",684.373983199966,547.1976539281177,840.0393859945827
Kazakhstan,2021,All ages,Both,Digestive diseases,DALY rank,5,,
Kazakhstan,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1835.6181530090166,1574.2660977715473,2178.5632624057575
Poland,2021,All ages,Both,Digestive diseases,DALY rank,7,,
Poland,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1782.327382474462,1602.9581099353536,1963.9911297325611
Ukraine,2021,All ages,Both,Digestive diseases,DALY rank,7,,
Ukraine,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",2229.327845395275,1692.7335115423864,2811.542782388874
Japan,2021,All ages,Both,Digestive diseases,DALY rank,11,,
Japan,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1034.746699115349,913.6480919998327,1171.054954938687
Australia,2021,All ages,Both,Digestive diseases,DALY rank,12,,
Australia,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",750.4226233381945,655.5917651034003,861.8800373241153
Germany,2021,All ages,Both,Digestive diseases,DALY rank,10,,
Germany,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1349.4055122499772,1234.41025634805,1482.7016121770207
Argentina,2021,All ages,Both,Digestive diseases,DALY rank,10,,
Argentina,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1060.9258434041801,963.6309216544993,1191.9089339006393
United States of America,2021,All ages,Both,Digestive diseases,DALY rank,12,,
United States of America,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1178.7928588589853,1087.259633026036,1287.5753331720314
Cuba,2021,All ages,Both,Digestive diseases,DALY rank,11,,
Cuba,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1332.436981679315,1162.6227012887296,1542.8261879170132
Peru,2021,All ages,Both,Digestive diseases,DALY rank,10,,
Peru,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1229.0270082974662,1000.9224748251371,1525.4446622068328
Mexico,2021,All ages,Both,Digestive diseases,DALY rank,9,,
Mexico,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1909.321718381557,1687.2737290075518,2152.9027169991928
Brazil,2021,All ages,Both,Digestive diseases,DALY rank,11,,
Brazil,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1250.0656361477793,1145.3770989757677,1391.807748640857
Egypt,2021,All ages,Both,Digestive diseases,DALY rank,8,,
Egypt,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1532.4437552281747,1270.4865894762577,1834.9695628328632
India,2021,All ages,Both,Digestive diseases,DALY rank,12,,
India,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1245.8638593942962,947.1946933372586,1545.3013302096779
Angola,2021,All ages,Both,Digestive diseases,DALY rank,15,,
Angola,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1173.17993496761,890.5597579454881,1513.368250982292
Kenya,2021,All ages,Both,Digestive diseases,DALY rank,11,,
Kenya,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1401.32261741214,1044.725825110035,1972.9893580014386
South Africa,2021,All ages,Both,Digestive diseases,DALY rank,17,,
South Africa,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1037.6638723756132,941.3090109137903,1155.811609046653
Ghana,2021,All ages,Both,Digestive diseases,DALY rank,13,,
Ghana,2021,All ages,Both,Digestive diseases,"DALYs per 100,000",1178.4859263956173,934.138779345409,1457.5177118997262
China,2021,All ages,Both,Neurological disorders,DALY rank,6,,
China,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1548.5107701296467,925.135716862538,2489.762307027133
Indonesia,2021,All ages,Both,Neurological disorders,DALY rank,12,,
Indonesia,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1124.0386150256986,495.31954132462175,2001.3346309665192
Fiji,2021,All ages,Both,Neurological disorders,DALY rank,12,,
Fiji,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1131.7144631523377,615.9142946260683,1895.8202512477326
Kazakhstan,2021,All ages,Both,Neurological disorders,DALY rank,12,,
Kazakhstan,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1213.4867084864215,658.3563693921488,2015.8733754541774
Poland,2021,All ages,Both,Neurological disorders,DALY rank,5,,
Poland,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",2039.3261751242214,1297.1921157203285,3120.212687701141
Ukraine,2021,All ages,Both,Neurological disorders,DALY rank,8,,
Ukraine,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1838.5173751635782,1119.081964259495,2824.6648318783477
Japan,2021,All ages,Both,Neurological disorders,DALY rank,4,,
Japan,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",2965.4172538881544,1823.3454012223206,4821.194060318449
Australia,2021,All ages,Both,Neurological disorders,DALY rank,5,,
Australia,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1888.175661573089,1194.313955983447,2915.1564574351914
Germany,2021,All ages,Both,Neurological disorders,DALY rank,4,,
Germany,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",3035.690637080264,1897.0521727305054,4799.394310845271
Argentina,2021,All ages,Both,Neurological disorders,DALY rank,9,,
Argentina,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1326.721367704125,802.6725594924219,2092.708693678162
United States of America,2021,All ages,Both,Neurological disorders,DALY rank,8,,
United States of America,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",2245.4328160432356,1389.8034742297623,3515.7456275323657
Cuba,2021,All ages,Both,Neurological disorders,DALY rank,9,,
Cuba,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1569.5953074302035,944.1845774171396,2509.2636419264954
Peru,2021,All ages,Both,Neurological disorders,DALY rank,12,,
Peru,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1023.0272546109042,619.5929914055924,1565.961923183991
Mexico,2021,All ages,Both,Neurological disorders,DALY rank,11,,
Mexico,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1327.8095507371088,791.0231485202196,2110.980840580708
Brazil,2021,All ages,Both,Neurological disorders,DALY rank,9,,
Brazil,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1678.905227943387,903.5963643965122,2761.3811220383127
Egypt,2021,All ages,Both,Neurological disorders,DALY rank,10,,
Egypt,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1051.8471001243056,497.2055293836106,1828.8230901855004
India,2021,All ages,Both,Neurological disorders,DALY rank,16,,
India,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1102.6489629505368,562.7478748655582,1878.725197970655
Angola,2021,All ages,Both,Neurological disorders,DALY rank,17,,
Angola,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",996.3991373511836,593.6841679891945,1575.189498671344
Kenya,2021,All ages,Both,Neurological disorders,DALY rank,15,,
