Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Kenya,2021,All ages,Both,Unintentional injuries,DALY rank,16,,
Kenya,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",943.1246470853588,778.9725960994556,1156.3145839411018
South Africa,2021,All ages,Both,Unintentional injuries,DALY rank,14,,
South Africa,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1224.3899609581508,1112.3678367046427,1357.814120475884
Ghana,2021,All ages,Both,Unintentional injuries,DALY rank,17,,
Ghana,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1044.0007577180202,790.8216524600513,1340.3448837232233
China,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,15,,
China,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",431.84397372720105,371.8461138766264,510.2588801270924
Indonesia,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,21,,
Indonesia,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",197.59217348225786,167.66027950582858,239.50402010717036
Fiji,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,13,,
Fiji,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",773.0039308593887,604.8049430372813,966.3166750662299
Kazakhstan,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,11,,
Kazakhstan,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",1226.8050254491454,1106.337992008872,1357.1864593700482
Poland,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,15,,
Poland,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",743.4676993506918,684.7543767106457,800.6688668250144
Ukraine,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,11,,
Ukraine,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",1524.7182094589505,1149.290304681915,1945.7706160428897
Japan,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,13,,
Japan,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",698.4278412406621,677.6754788683503,721.0750168011355
Australia,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,13,,
Australia,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",670.2734603707119,639.2053273094306,698.7773694274099
Germany,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,15,,
Germany,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",474.69546507187255,453.19750119466033,497.0715372243433
Argentina,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,12,,
Argentina,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",826.9601127799035,788.9234290478514,864.4464237117733
United States of America,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,13,,
United States of America,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",1050.8759724944312,1016.0147460345045,1083.7773398655445
Cuba,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,14,,
Cuba,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",838.8320452894114,731.6848175282518,946.8106741666774
Peru,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,17,,
Peru,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",405.31206397297854,333.65018515832816,487.29549644880603
Mexico,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,7,,
Mexico,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",2120.793817935109,1920.6873494083566,2329.8702583934496
Brazil,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,6,,
Brazil,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",1974.201753778694,1928.30024311526,2022.545928557716
Egypt,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,19,,
Egypt,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",245.97687361865565,201.1109194711155,366.55888410243534
India,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,17,,
India,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",920.7610843788723,795.7122033320352,1010.6279353487537
Angola,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,19,,
Angola,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",696.9779965058602,553.4302967018979,871.1229569884505
Kenya,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,17,,
Kenya,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",876.4102451882108,738.7391762255003,1089.9995033880994
South Africa,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,6,,
South Africa,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",3084.787825890294,2841.7972851984573,3322.9897452088153
Ghana,2021,All ages,Both,Self-harm and interpersonal violence,DALY rank,22,,
Ghana,2021,All ages,Both,Self-harm and interpersonal violence,"DALYs per 100,000",434.91097323880865,340.19395288684154,562.1381833252068
China,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,19,,
China,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",125.18856573120544,95.92051044988037,161.38873521722846
Indonesia,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,22,,
Indonesia,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",192.249068563501,126.2333793406714,296.10951171564386
Fiji,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,20,,
Fiji,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",392.2917492924281,252.38273670496392,608.31419076245
Kazakhstan,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,21,,
Kazakhstan,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",99.1111165748332,89.84387366116451,111.24675462317475
Poland,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,23,,
Poland,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",28.909890449378466,23.485221188816805,36.335635074110634
Ukraine,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,16,,
Ukraine,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",755.2279253886612,729.0737371164689,786.8781416890367
Japan,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,22,,
Japan,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",19.576901737672834,13.981547680362292,27.93831734579818
Australia,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,21,,
Australia,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",27.46710044766763,21.157564213739693,37.007383772328645
Germany,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,21,,
Germany,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",36.57557124363258,30.74770967212076,44.84634294249014
Argentina,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,18,,
Argentina,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",228.88271289704286,215.68901282417903,247.3515745357112
United States of America,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,20,,
United States of America,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",127.43788267810896,103.61463760542675,158.15880300136453
Cuba,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,20,,
Cuba,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",167.52245830636295,151.4242661377479,190.4501627225694
Peru,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,19,,
Peru,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",306.0104978189327,265.2612041747958,374.6229217804784
Mexico,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,20,,
Mexico,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",251.72075715301216,238.68921982727176,269.93871589007824
Brazil,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,19,,
Brazil,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",374.42427357795077,355.2157039349849,398.7407434978835
Egypt,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,23,,
Egypt,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",57.198235627266214,41.410853955595066,82.95536213379471
India,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,23,,
India,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",229.81145588732943,169.2786013945242,307.0129967221804
Angola,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,4,,
Angola,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",3716.6226801421612,2525.6472226463206,5486.683087305666
Kenya,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,2,,
Kenya,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",3738.4307983984336,3302.043211371718,4266.888316719407
South Africa,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,2,,
South Africa,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",10443.327818503409,9773.670298938081,11163.679790166274
Ghana,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,DALY rank,6,,
Ghana,2021,All ages,Both,HIV/AIDS and sexually transmitted infections,"DALYs per 100,000",2582.1430869632864,1911.9044730952724,3574.829101736178
China,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,14,,
China,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",456.0265719661138,392.4764087129048,525.0232765878447
Indonesia,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,2,,
Indonesia,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",4448.617482560719,3163.7404399766615,6630.506207997557
Fiji,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,3,,
Fiji,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",4791.042418271991,3210.1677760073444,8209.276085454572
Kazakhstan,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,2,,
Kazakhstan,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",6278.913065102791,5290.8720417495215,7237.931408474403
Poland,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,3,,
Poland,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",5400.807685615866,4162.289854144718,6805.977129770033
Ukraine,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,2,,
Ukraine,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",6140.958930312024,5089.685878396111,7503.579193980963
Japan,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,9,,
Japan,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",1059.3184526941795,918.1351687255417,1158.9873289384605
Australia,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,15,,
Australia,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",503.411727413086,440.6717036322611,572.4924064779796
Germany,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,6,,
Germany,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",2094.4580484699277,1996.5582404281063,2211.199631705464
Argentina,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
Argentina,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",4763.774049755605,4629.148098306856,4946.661786499129
United States of America,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,3,,
United States of America,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",3774.0596913622658,3641.1773561490336,3967.5214626844577
Cuba,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
Cuba,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",9469.633148301618,8039.093389204381,10956.758548643156
Peru,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
Peru,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",9097.285315935073,8745.550825144983,9561.911219879506
Mexico,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
Mexico,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",6698.400858464881,5295.577202224502,8309.453565193084
Brazil,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
Brazil,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",6321.556617586942,5936.385342969915,6817.939298169937
Egypt,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,2,,
Egypt,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",4291.766539016508,3273.5513119448724,5240.457103091757
India,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
India,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",5652.429564601142,5282.699701435939,6161.0977872067
Angola,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
Angola,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",7188.8692811239,5899.540844781374,8677.352953161824
Kenya,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
Kenya,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",7639.417538150627,6757.16390530636,8474.193541545985
South Africa,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
South Africa,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",11063.922312540315,10644.878251298145,11585.159996904968
Ghana,2021,All ages,Both,Respiratory infections and tuberculosis,DALY rank,1,,
Ghana,2021,All ages,Both,Respiratory infections and tuberculosis,"DALYs per 100,000",5438.764486257381,4626.617729269181,6317.16847406517
China,2021,All ages,Both,Enteric infections,DALY rank,22,,
China,2021,All ages,Both,Enteric infections,"DALYs per 100,000",24.55211456662639,19.91467081233329,31.03848436703485
Indonesia,2021,All ages,Both,Enteric infections,DALY rank,16,,
Indonesia,2021,All ages,Both,Enteric infections,"DALYs per 100,000",893.3439171276336,665.5375013547872,1152.164781451131
Fiji,2021,All ages,Both,Enteric infections,DALY rank,17,,
Fiji,2021,All ages,Both,Enteric infections,"DALYs per 100,000",579.6738589740994,390.3243401977629,830.4637690904915
Kazakhstan,2021,All ages,Both,Enteric infections,DALY rank,23,,
Kazakhstan,2021,All ages,Both,Enteric infections,"DALYs per 100,000",33.66343899710727,26.379896607528693,43.22472549542616
Poland,2021,All ages,Both,Enteric infections,DALY rank,22,,
Poland,2021,All ages,Both,Enteric infections,"DALYs per 100,000",47.08918932202003,42.899976547044616,51.233488409659564
Ukraine,2021,All ages,Both,Enteric infections,DALY rank,23,,
Ukraine,2021,All ages,Both,Enteric infections,"DALYs per 100,000",24.078791927509325,17.417853039071158,32.51202778836922
Japan,2021,All ages,Both,Enteric infections,DALY rank,18,,
Japan,2021,All ages,Both,Enteric infections,"DALYs per 100,000",103.73296352986958,81.64254007979447,130.4053463651934
Australia,2021,All ages,Both,Enteric infections,DALY rank,22,,
Australia,2021,All ages,Both,Enteric infections,"DALYs per 100,000",18.47400620573898,15.985917337265313,21.52395318035647
Germany,2021,All ages,Both,Enteric infections,DALY rank,19,,
Germany,2021,All ages,Both,Enteric infections,"DALYs per 100,000",84.91967470641622,72.88980614902769,98.13859043359412
Argentina,2021,All ages,Both,Enteric infections,DALY rank,22,,
Argentina,2021,All ages,Both,Enteric infections,"DALYs per 100,000",60.823976539036316,52.2237677826816,71.797056600089
United States of America,2021,All ages,Both,Enteric infections,DALY rank,22,,
United States of America,2021,All ages,Both,Enteric infections,"DALYs per 100,000",47.559249426612766,43.31710709246729,50.35302999708332
Cuba,2021,All ages,Both,Enteric infections,DALY rank,21,,
Cuba,2021,All ages,Both,Enteric infections,"DALYs per 100,000",112.20356066665909,92.0351102289849,139.79997124505596
Peru,2021,All ages,Both,Enteric infections,DALY rank,23,,
Peru,2021,All ages,Both,Enteric infections,"DALYs per 100,000",146.92196904797714,106.01134878091912,205.90637271880752
Mexico,2021,All ages,Both,Enteric infections,DALY rank,21,,
Mexico,2021,All ages,Both,Enteric infections,"DALYs per 100,000",149.46319807443018,130.8332928781202,173.49534368643543
Brazil,2021,All ages,Both,Enteric infections,DALY rank,22,,
Brazil,2021,All ages,Both,Enteric infections,"DALYs per 100,000",107.03777019030426,94.83019697928196,121.20836129997656
Egypt,2021,All ages,Both,Enteric infections,DALY rank,17,,
Egypt,2021,All ages,Both,Enteric infections,"DALYs per 100,000",345.8459643123494,260.73512364685155,457.934854418934
India,2021,All ages,Both,Enteric infections,DALY rank,10,,
India,2021,All ages,Both,Enteric infections,"DALYs per 100,000",1472.1065393998838,1102.671414701364,2075.212929811016
Angola,2021,All ages,Both,Enteric infections,DALY rank,10,,
Angola,2021,All ages,Both,Enteric infections,"DALYs per 100,000",1813.1931510861375,1292.893378431194,2358.5943895080804
Kenya,2021,All ages,Both,Enteric infections,DALY rank,5,,
Kenya,2021,All ages,Both,Enteric infections,"DALYs per 100,000",2091.3553774200245,1648.107000553651,2624.9713918518146
South Africa,2021,All ages,Both,Enteric infections,DALY rank,13,,
South Africa,2021,All ages,Both,Enteric infections,"DALYs per 100,000",1561.3010613082138,1251.684249047213,2010.0235722221082
Ghana,2021,All ages,Both,Enteric infections,DALY rank,11,,
Ghana,2021,All ages,Both,Enteric infections,"DALYs per 100,000",1267.9140236298,905.5051479891326,1721.1862078642837
China,2021,All ages,Both,Other infectious diseases,DALY rank,21,,
China,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",79.20415143128167,66.32059192883656,95.57448635808026
Indonesia,2021,All ages,Both,Other infectious diseases,DALY rank,19,,
Indonesia,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",398.84878596681756,321.4700164093939,475.8964313868394
Fiji,2021,All ages,Both,Other infectious diseases,DALY rank,21,,
Fiji,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",349.5759633127626,258.3596339490318,467.3564685470609
Kazakhstan,2021,All ages,Both,Other infectious diseases,DALY rank,20,,
Kazakhstan,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",185.19193442555746,159.01674080212555,220.19404779686107
Poland,2021,All ages,Both,Other infectious diseases,DALY rank,20,,
Poland,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",54.93273757189902,47.931574428019445,64.03703290073675
Ukraine,2021,All ages,Both,Other infectious diseases,DALY rank,21,,
Ukraine,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",145.99205031857707,122.28909482441736,172.00108200145584
Japan,2021,All ages,Both,Other infectious diseases,DALY rank,21,,
Japan,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",68.78622838958931,61.29404667231575,77.02510432938334
Australia,2021,All ages,Both,Other infectious diseases,DALY rank,20,,
Australia,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",53.554960977214115,48.895234535634,59.49052125699827
Germany,2021,All ages,Both,Other infectious diseases,DALY rank,20,,
Germany,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",60.68335734640909,55.800354338440016,66.10723504053479
Argentina,2021,All ages,Both,Other infectious diseases,DALY rank,20,,
Argentina,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",90.02245467452975,82.93665005894266,98.4972277736977
United States of America,2021,All ages,Both,Other infectious diseases,DALY rank,21,,
United States of America,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",71.09960194522716,65.90323328062586,77.1862069423671
Cuba,2021,All ages,Both,Other infectious diseases,DALY rank,22,,
Cuba,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",109.89074495951884,95.14809989561876,127.99028022049013
Peru,2021,All ages,Both,Other infectious diseases,DALY rank,22,,
Peru,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",171.54376445850747,112.09372858152405,318.12347931160633
Mexico,2021,All ages,Both,Other infectious diseases,DALY rank,23,,
Mexico,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",111.8785897708822,100.1000918931442,128.64352351150367
Brazil,2021,All ages,Both,Other infectious diseases,DALY rank,21,,
Brazil,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",128.83246155937204,114.26626369297175,146.80325200630364
Egypt,2021,All ages,Both,Other infectious diseases,DALY rank,20,,
Egypt,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",236.02900571156837,178.50162650190214,327.21681671904247
India,2021,All ages,Both,Other infectious diseases,DALY rank,19,,
India,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",598.95678554407,498.99787882164964,749.6193004367005
Angola,2021,All ages,Both,Other infectious diseases,DALY rank,9,,
Angola,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",1843.5041782723724,1011.0883340452723,3495.646334770639
Kenya,2021,All ages,Both,Other infectious diseases,DALY rank,13,,
Kenya,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",978.9757594440571,765.6077836657813,1251.0972826139207
South Africa,2021,All ages,Both,Other infectious diseases,DALY rank,20,,
South Africa,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",623.9114104658777,492.0922184350074,738.4909474593691
Ghana,2021,All ages,Both,Other infectious diseases,DALY rank,18,,
Ghana,2021,All ages,Both,Other infectious diseases,"DALYs per 100,000",886.3045074168346,650.3600935102992,1252.4925645313651
China,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,16,,
China,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",330.1754226192982,282.1253938846789,381.20732952808675
Indonesia,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,5,,
Indonesia,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",1744.8251554459425,1428.7245026179717,2069.836920827634
Fiji,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,7,,
Fiji,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",1674.4592863425744,1314.9016518886478,2131.4631047390503
Kazakhstan,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,14,,
Kazakhstan,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",973.4927298070301,834.4575128261099,1143.4323306481488
Poland,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,18,,
Poland,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",254.17508534663057,210.6611386531637,298.5042693649747
Ukraine,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,19,,
Ukraine,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",348.0318933165937,290.10017375620555,407.22743505177215
Japan,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,16,,
Japan,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",156.9307338959496,121.58017140090799,192.88954223357004
Australia,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,17,,
Australia,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",312.25221167824463,260.98427310116284,373.8060321744273
Germany,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,16,,
Germany,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",338.11180362641875,273.1650578647339,407.23743604079675
Argentina,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,13,,
Argentina,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",733.3391043928957,611.7500440205528,864.0606908243236
United States of America,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,17,,
United States of America,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",461.0889843371044,405.7328973173216,515.5356660845604
Cuba,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,18,,
Cuba,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",332.1126092264758,278.0977962427287,389.51460308342433
Peru,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,11,,
Peru,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",1227.056198274627,939.0725677356202,1533.9202352319107
Mexico,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,13,,
Mexico,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",1080.16245360595,912.8163430044249,1261.1620343956831
Brazil,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,12,,
Brazil,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",1100.1095008927177,929.1961870062922,1287.1265054388323
Egypt,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,11,,
Egypt,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",917.5353036723656,747.6927703738223,1102.2063441166667
India,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,3,,
India,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",3053.217237456523,2581.1155217513337,3657.6337795435816
Angola,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,2,,
Angola,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",6689.674253629306,5552.176815824011,7877.767575037085
Kenya,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,3,,
Kenya,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",3597.369039822863,2993.4694708260013,4348.856970099218
South Africa,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,7,,
South Africa,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",3045.114799614986,2577.3855308519883,3641.7699435827276
Ghana,2021,All ages,Both,Maternal and neonatal disorders,DALY rank,2,,
Ghana,2021,All ages,Both,Maternal and neonatal disorders,"DALYs per 100,000",5272.167318043523,4114.429199232421,6762.035715057716
China,2021,All ages,Both,Substance use disorders,DALY rank,17,,
China,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",304.7458590984083,234.42398136479824,378.66173616377785
Indonesia,2021,All ages,Both,Substance use disorders,DALY rank,23,,
Indonesia,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",108.18227088745064,79.50651144641235,140.8627142811222
Fiji,2021,All ages,Both,Substance use disorders,DALY rank,23,,
Fiji,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",130.1980083899738,93.3931258672497,171.90570865657182
Kazakhstan,2021,All ages,Both,Substance use disorders,DALY rank,15,,
Kazakhstan,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",930.590799634909,745.5545793992749,1157.8545555106846
Poland,2021,All ages,Both,Substance use disorders,DALY rank,14,,
Poland,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",965.7044953183549,818.5890658130511,1143.8957538157067
Ukraine,2021,All ages,Both,Substance use disorders,DALY rank,13,,
Ukraine,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",1114.228682758217,883.8077021861807,1359.2353982666175
Japan,2021,All ages,Both,Substance use disorders,DALY rank,17,,
Japan,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",139.13329501213158,104.78968519681791,175.72723390191976
Australia,2021,All ages,Both,Substance use disorders,DALY rank,11,,
Australia,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",761.5258320359186,629.9764882262969,902.5549123413317
Germany,2021,All ages,Both,Substance use disorders,DALY rank,14,,
Germany,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",653.2238928504195,543.8163291634901,777.8357910143532
Argentina,2021,All ages,Both,Substance use disorders,DALY rank,17,,
Argentina,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",352.906352931646,259.0677153392877,469.0523322651993
United States of America,2021,All ages,Both,Substance use disorders,DALY rank,7,,
United States of America,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",2365.060039551435,2012.4848888605613,2720.240015795745
